Adam - bot3,Ben - Bot4,Caleb - Calling Station,Dan - base_player,Eli - bot1,
1000,1000,1000,1000,1000,
1530,830,830,980,830,
1530,830,810,960,870,
1465,830,1005,895,805,
1455,830,1009,897,809,
1450,820,994,942,794,
1450,810,969,917,854,
1445,800,985,931,839,
1705,795,900,846,754,
1680,795,875,921,729,
2130,795,725,771,579,
2090,795,685,891,539,
2085,785,750,866,514,
2085,780,730,911,494,
2080,770,747,891,512,
2080,765,722,866,567,
2050,765,692,836,657,
2050,745,752,816,637,
2093,745,707,863,592,
2088,735,692,848,637,
2088,730,737,828,617,
2083,720,722,873,602,
2083,700,702,853,662,
2083,700,672,913,632,
2083,690,652,893,682,
2073,690,632,873,732,
2053,650,782,828,687,
2053,610,742,948,647,
2043,590,717,1028,622,
2043,580,682,1108,587,
2043,580,732,1083,562,
1988,580,897,1028,507,
1968,580,867,998,587,
1958,560,897,968,617,
1958,550,947,948,597,
1913,530,902,1103,552,
1913,520,952,1083,532,
1913,500,1042,1048,497,
1913,500,1102,1018,467,
1893,480,1077,993,557,
1883,460,1052,1073,532,
1883,450,1022,1143,502,
1873,430,1048,1118,531,
1873,410,1023,1093,601,
1873,410,1083,1063,571,
1873,410,1083,1063,571,
1853,410,1053,1033,651,
1843,390,1023,1123,621,
1843,380,1043,1093,641,
1798,360,998,1248,596,
1798,340,973,1223,666,
1798,990,688,1143,381,
1708,990,958,1053,291,
1668,990,908,1193,241,
1648,950,927,1215,260,
1648,1440,702,1175,35,
1628,1400,662,1310,0,
1088,860,1807,1245,0,
1088,860,1767,1285,0,
1048,820,1887,1245,0,
1028,700,2067,1205,0,
1028,620,1987,1365,0,
1008,580,2087,1325,0,
1008,560,2147,1285,0,
1008,560,2107,1325,0,
968,560,2127,1345,0,
948,440,2307,1305,0,
948,400,2387,1265,0,
928,360,2347,1365,0,
928,340,2407,1325,0,
928,340,2367,1365,0,
1008,340,2327,1325,0,
988,300,2287,1425,0,
988,280,2247,1485,0,
968,160,2427,1445,0,
968,120,2507,1405,0,
968,120,2507,1405,0,
888,120,2427,1565,0,
848,40,2547,1565,0,
848,80,2507,1565,0,
808,40,2627,1525,0,
808,0,2667,1525,0,
807,0,2666,1527,0,
767,0,2706,1527,0,
767,0,2706,1527,0,
727,0,2746,1527,0,
727,0,2826,1447,0,
647,0,2866,1487,0,
607,0,2906,1487,0,
607,0,2826,1567,0,
567,0,2866,1567,0,
747,0,2776,1477,0,
748,0,2777,1475,0,
708,0,2817,1475,0,
708,0,2897,1395,0,
668,0,2937,1395,0,
668,0,2937,1395,0,
588,0,2977,1435,0,
548,0,3017,1435,0,
548,0,3017,1435,0,
508,0,3057,1435,0,
508,0,3377,1115,0,
348,0,3617,1035,0,
268,0,3697,1035,0,
268,0,3857,875,0,
188,0,3937,875,0,
188,0,4097,715,0,
28,0,4337,635,0,
0,0,4365,635,0,
0,0,4205,795,0,
0,0,4285,715,0,
0,0,4125,875,0,
0,0,4205,795,0,
0,0,4205,795,0,
0,0,4285,715,0,
0,0,4445,555,0,
0,0,4525,475,0,
0,0,4365,635,0,
0,0,4445,555,0,
0,0,4605,395,0,
0,0,4685,315,0,
0,0,4845,155,0,
0,0,4925,75,0,
0,0,4850,150,0,
0,0,4930,70,0,
0,0,5000,0,0,
